Date,svol_xf,margin_xf,c,d_jan,d_feb,d_mar,d_apr,d_may,d_jun,d_jul,d_aug,d_sep,d_oct,d_nov,d_dec,school_easter,school_holidays,school_ht_feb,school_ht_may,school_ht_oct,school_summer,school_xmas,payday_25,payday_lf,bh_aug,bh_boxd,bh_easter,bh_eastmon,bh_goodfri,bh_lastmay,bh_mayday,bh_ny,bh_xmas,day_fathers,day_mothers,day_valentine,trend_2007,trend_2008,trend_2009,trend_2010,trend_2011,ww_nat_dlta_maxtemp,ww_nat_dlta_mintemp,ww_nat_dlta_rain,ww_nat_dlta_sun,ww_nat_lta_maxtemp,ww_nat_lta_mintemp,ww_nat_lta_sun,ww_nat_maxtemp,ww_nat_lta_rain,ww_nat_mintemp,ww_nat_rain,ww_nat_sun,gfk_climmajpurch,gfk_consconf,gfk_econlst12msnth,gfk_econnxt12mnths,gfk_hhlst12mnths,gfk_hhnxt12mnths,oecd_bci,oecd_cci,oecd_cp_all,oecd_cp_energy,oecd_cp_food,oecd_cp_housing,oecd_cp_nfne,oecd_cp_service,oecd_gdp,oecd_gdp_2000base,oecd_hcp_all,oecd_intrate,oecd_unemploy,rsi_nfood_val_sa,rsi_nfood_vol_sa,rsi_val_sa,rsi_vol_sa,dist_xf,price_se_xf,price_se_lor,price_se_mayb,price_se_no7,prom_tft,prom_gwp,pos_ge,pos_pps,pos_fsdu,m_wow_tv,m_wow_olv,m_wow_social,m_wow_tot,m_amaze_tv,m_amaze_outdoor,m_amaze_display,m_amaze_tot,m_celeb_tv,m_celeb_outdoor,m_celeb_display,m_celeb_tot,xf_total,comp_lor_tot,comp_mayb_tot,comp_no7_tot,svol_xf_add,random,error
2020-01-07,449929.6732175556,0.9,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42857142857142,0.0,0.0,0.0,0.0,3.44262038832678,3.10817803183868,1.76092651395654,-0.790935070674691,7.21971721827666,2.07493884694331,1.62989611013888,10.6623376066034,2.28582674278241,5.183116878782,4.04675325673896,0.838961039464195,10,-7,-31,-20,-3,9,101.5419,100.9894,103.2086,119.1099,104.4,104.6253,101.7915,104.1356,1404845,1166011.88707093,103.2086,4.87,5.5,99.6,100.9,101.2,101.2,0.8,8.473684210526315,8.874,7.975,9.59466131720211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98831,90947,102788,802527.5557095914,0.7073774262707222,0.027286965422732203
2020-01-14,449929.6732175556,0.9,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42857142857142,0.0,0.0,0.0,0.0,2.12884234531714,2.43625407252674,2.11309689562085,0.236346727399216,7.42310563851131,2.28971994597734,1.75845845813629,9.55194798382845,2.13755247898646,4.72597401850409,4.25064937460732,1.99480518553551,10,-7,-31,-20,-3,9,101.5419,100.9894,103.2086,119.1099,104.4,104.6253,101.7915,104.1356,1404845,1166011.88707093,103.2086,4.87,5.5,99.6,100.9,101.2,101.2,0.8,8.473684210526315,8.874,7.975,9.59466131720211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115621,6152,135015,802527.5557095914,0.7389487697098127,0.03200539444552369
2020-01-21,449929.6732175556,0.9,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.42857142857142,0.0,0.0,0.0,0.0,-1.60747560989869,-2.11401982404158,-1.27461483988829,1.03686345389914,7.42825483129718,2.30363020428552,1.81768198531939,5.82077922139849,2.07461484838388,0.189610380243945,0.800000008495597,2.85454543921854,10,-7,-31,-20,-3,9,101.5419,100.9894,103.2086,119.1099,104.4,104.6253,101.7915,104.1356,1404845,1166011.88707093,103.2086,4.87,5.5,99.6,100.9,101.2,101.2,0.8,8.473684210526315,8.874,7.975,9.59466131720211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21858,0,147920,802527.5557095914,0.2429471553289746,-0.03484268859310736
2020-01-28,449929.6732175556,0.9,1,0.571428571428571,0.428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42857142857142,0.0,0.0,0.0,0.0,1.84690829401076,1.45261854987189,-1.79873582351222,0.612704394292706,7.420624215632,2.12010872703544,2.08210081821971,9.26753250964276,1.85068387633112,3.57272727690733,0.051948052818899,2.69480521251241,10,-7,-31,-20,-3,9,101.5419,100.9894,103.2086,119.1099,104.4,104.6253,101.7915,104.1356,1404845,1166011.88707093,103.2086,4.87,5.5,99.6,100.9,101.2,101.2,0.8,8.473684210526315,8.874,7.975,9.59466131720211,0.42857142857142855,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64577,0,224597,802527.5557095914,0.7218373022238421,0.02941541350581227
2020-02-04,449929.6732175556,0.9,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42857142857143,0.0,0.0,0.0,0.0,-2.5738235409991,-4.1599260782686,1.19137777918616,0.37623917696644,7.68161572254978,2.05992607712682,2.41856602134149,5.10779218155068,1.6605702643824,-2.10000000114177,2.85194804356856,2.79480519830793,4,-8,-33,-21,0,10,101.743,101.0679,103.7086,118.9099,105.4,104.6799,102.1915,104.5599,1404845,1166011.88707093,103.7086,4.9,5.5,102.4,103.4,102.6,102.3,0.8,8.473684210526315,8.874,7.975,9.59466131720211,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253117,0,159572,802527.5557095914,0.5621969388982745,0.007827080580016998
2020-02-11,449929.6732175556,0.9,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714285714285714,0.714285714285714,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.42857142857143,0.0,0.0,0.0,0.0,1.03652504790781,2.06246102622726,0.666620162239473,-0.893167735191847,7.79724117718865,1.90117532564298,2.76199892151736,8.83376622509646,1.74636687035127,3.96363635187025,2.41298703259074,1.86883118632551,4,-8,-33,-21,0,10,101.743,101.0679,103.7086,118.9099,105.4,104.6799,102.1915,104.5599,1404845,1166011.88707093,103.7086,4.9,5.5,102.4,103.4,102.6,102.3,0.8,8.473684210526315,8.874,7.975,9.59466131720211,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147537,0,217001,802527.5557095914,0.4506487367155204,-0.006201124162862218
2020-02-18,449929.6732175556,0.9,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.42857142857143,0.0,0.0,0.0,0.0,1.75625697337795,2.97156594682973,1.24257987950046,-1.55026906945849,7.76841833395783,1.76220030009596,2.99182750975904,9.52467530733579,1.70806948103784,4.7337662469257,2.9506493605383,1.44155844030055,4,-8,-33,-21,0,10,101.743,101.0679,103.7086,118.9099,105.4,104.6799,102.1915,104.5599,1404845,1166011.88707093,103.7086,4.9,5.5,102.4,103.4,102.6,102.3,0.8,8.473684210526315,8.874,7.975,9.59466131720211,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58125,0,357937,802527.5557095914,0.6844738120747572,0.024012307419796
2020-02-25,449929.6732175556,0.9,1,0.0,0.571428571428571,0.428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42857142857143,0.0,0.0,0.0,0.0,1.55052438804349,1.72555944011499,1.59473803973793,-0.0260237191220143,8.04428080923877,1.9458691316232,3.08446528743317,9.59480519728227,1.56500220566238,3.6714285717382,3.15974024540031,3.05844156831115,4,-8,-33,-21,0,10,101.743,101.0679,103.7086,118.9099,105.4,104.6799,102.1915,104.5599,1404845,1166011.88707093,103.7086,4.9,5.5,102.4,103.4,102.6,102.3,0.8,8.473684210526315,9.162,8.25,9.59466131720211,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104395,202996,451292,802527.5557095914,0.7864823140873991,0.03971374853154028
2020-03-03,449929.6732175556,0.9,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.42857142857143,0.0,0.0,0.0,0.0,1.72886620112669,1.23436379446748,0.845620510697887,1.02014153517164,8.72048444079273,2.41628555049232,3.22531302381006,10.4493506419194,1.61541845634024,3.65064934495981,2.46103896703813,4.2454545589817,2,-7,-33,-21,0,10,101.9037,101.207,104.2087,120.11,106.0,104.6799,102.5915,104.6842,1404845,1166011.88707093,104.2087,4.82,5.5,104.1,105.0,103.9,103.2,0.8,8.473684210526315,9.162,8.25,9.59466131720211,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229084,132555,387740,802527.5557095914,0.8822230540407682,0.05930866198424183
2020-03-10,449929.6732175556,0.9,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4285714285714,0.0,0.0,0.0,0.0,1.61835534897042,0.935321353769175,-0.885243204720857,0.41426656896499,9.52320305543187,3.07506826757375,3.24807110092001,11.1415584044023,1.6384899597093,4.01038962134293,0.753246754988447,3.662337669885,2,-7,-33,-21,0,10,101.9037,101.207,104.2087,120.11,106.0,104.6799,102.5915,104.6842,1404845,1166011.88707093,104.2087,4.82,5.5,104.1,105.0,103.9,103.2,0.8,8.473684210526315,9.162,8.25,9.59466131720211,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246233,23415,332506,802527.5557095914,0.8673845954479014,0.05570563871229344
