Date,base,weather,econ,dist,price,promotion,m_wow_tv,m_wow_olv,m_wow_social,m_amaze_tot,m_celeb_tv,m_celeb_outdoor,m_celeb_display,comp,model,model_og,diff
2020-01-07,147769.8579359053,238.1780598942286,0.0,18975.144600182462,85876.10397036216,39337.767234278144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1288.1576366204267,290908.89416400186,290908.8941640014,4.656612873077393e-10
2020-01-14,148769.52579181912,-3176.450319228108,0.0,18865.25232226738,85378.76279680972,39109.947265547766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1666.3707018815724,287280.6671553343,287280.6671553343,0.0
2020-01-21,158457.48383779256,3918.806131330064,0.0,20564.66007819934,93069.79863403122,42633.02485718504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2066.295083655027,316577.47845488315,316577.4784548815,1.6298145055770874e-09
2020-01-28,149835.88216526716,14627.639820353861,0.0,18511.628210592415,83778.3607118461,17186.23776451217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2749.417102849298,281190.33156972245,281190.3315697229,-4.656612873077393e-10
2020-02-04,158524.11151983347,-11601.605870876765,6751.9910189388975,17049.50327663135,77161.19939412456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1580.2681964750072,246304.93114217653,246304.93114217563,9.022187441587448e-10
2020-02-11,194690.4653995856,-2629.8716630195117,8587.97992889698,21685.57267429301,98142.73002254342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2873.8541233374117,317603.02223896206,317603.0222389626,-5.238689482212067e-10
2020-02-18,203244.12813452198,-5316.60253961211,8842.826556877219,22329.087810287798,101055.09637808947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4903.563995476166,325250.9723446882,325250.97234468936,-1.1641532182693481e-09
2020-02-25,237307.11763504942,-4022.570548183299,10343.503429396782,26118.45826167315,118204.70855349596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7243.356301163378,380707.86103026866,380707.86103026796,6.984919309616089e-10
2020-03-03,241890.75140530075,5547.827668208632,17786.320225813488,27840.694317087266,125999.0587770418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6773.813807744651,412290.83858570724,412290.8385857058,1.4551915228366852e-09
2020-03-10,239711.41608501557,14647.945636389319,18075.060192734432,28292.655209172466,128044.50514264496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5978.497055315164,422793.08521064156,422793.0852106416,-5.820766091346741e-11
2020-03-17,243783.33235839373,-7216.936279280091,17558.246915911302,27483.694149415824,124383.37762349204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2147.3902384375433,403844.3245294952,403844.3245294938,1.3969838619232178e-09
2020-03-24,249491.03501200522,12263.29617953552,20581.74757427172,32216.340167716913,145801.98655038513,39441.35564151372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1740.4008679738895,498055.36025745433,498055.3602574534,9.313225746154785e-10
2020-03-31,220104.25616419112,32750.98744002909,18419.42060533285,30248.271626477595,120983.03252138058,62708.321520256315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2812.8742233800695,482401.4156542875,482401.4156542875,0.0
2020-04-07,220038.02966382224,33994.50444334137,18446.37078096294,30292.52905727891,121160.04753420725,62800.072521259586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3478.913525936265,483252.640474936,483252.64047493605,-5.820766091346741e-11
2020-04-14,232392.62448185257,34022.42421761659,19353.53513347899,31782.26938802624,127118.51369415293,65888.48420956315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5143.865785942358,505413.98533874814,505413.9853387472,9.313225746154785e-10
2020-04-21,253421.21034948205,13827.701974783084,20296.20878799097,33330.322900010535,133310.21319678822,69097.78616766582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.56654608939505,523353.0099228101,523353.00992281,5.820766091346741e-11
2020-04-28,231690.35749821225,32041.21137100897,19100.439788803684,31366.637599319474,125456.1246878994,65026.829297107004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8573.407261367382,496108.1929809834,496108.19298098347,-5.820766091346741e-11
2020-05-05,244986.82409117292,-30786.769377054417,16752.676416936065,28938.85458182787,115745.79956958974,59993.741789752865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4223.635053527718,431407.4920186973,431407.49201869656,7.566995918750763e-10
2020-05-12,242790.48804083833,-23639.51126363873,16919.37249991841,29226.8081950135,116897.51831170094,60590.70441894181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3143.7651672409233,439641.6150355334,439641.61503553257,8.149072527885437e-10
2020-05-19,259165.43508414296,10211.196082665265,17775.53684939168,30705.760870450198,122812.83743602781,28507.298280647676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3264.5241839325004,465913.54041939304,465913.5404193915,1.57160684466362e-09
2020-05-26,221093.98288021336,-13950.102214658156,15605.288173105018,26956.836860555573,107818.38747174489,55884.779596501736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5255.58278265798,408153.5899848044,408153.5899848037,6.984919309616089e-10
2020-06-02,212378.65245212417,14243.911081688346,23206.346260818882,28444.885163900217,113770.08608447938,58969.68350757754,0.0,2741.8419390971308,0.0,0.0,0.0,0.0,0.0,-4882.915603009816,448872.49088667583,448872.49088667583,0.0
2020-06-09,224084.12032285763,-34806.95245187736,21956.574259973873,26912.992954521498,107643.0264205387,55793.88588230074,0.0,3597.4838736905303,0.0,0.0,0.0,0.0,0.0,-2667.508926926721,402513.62233507895,402513.6223350789,5.820766091346741e-11
2020-06-16,226720.3822872225,-21801.338409455257,20734.847251166837,25415.47653911636,101653.45850659304,23595.786266369483,0.0,2074.3754677919533,0.0,0.0,0.0,0.0,0.0,-2696.3068279268095,375696.68108087813,375696.68108087743,6.984919309616089e-10
2020-06-23,254841.82286400138,-45185.95032311271,20249.16693948031,24820.160045213273,99272.39040353679,0.0,0.0,1248.3393722080311,0.0,0.0,0.0,0.0,0.0,-3785.0300121153964,351460.8992892117,351460.899289211,6.984919309616089e-10
2020-06-30,231409.66664707146,-21910.604918817753,20756.334695669608,24151.839441137014,96599.33012504835,0.0,0.0,760.0176029740109,0.0,0.0,0.0,0.0,0.0,-1983.8377191948384,349782.74587388785,349782.74587388727,5.820766091346741e-10
2020-07-07,229419.01833849685,-13059.19992083302,21051.087074892777,24494.81002058916,97971.09844556986,0.0,0.0,462.69010531637247,0.0,0.0,0.0,0.0,0.0,-2511.5008840657956,357828.0031799662,357828.00317996554,6.402842700481415e-10
2020-07-14,233575.61963069593,-30639.92507814301,20402.64550062081,23740.29064043867,94953.27171371617,0.0,0.0,269.1338356237482,0.0,0.0,0.0,0.0,0.0,-1666.8840369106924,340634.15220604156,340634.15220604104,5.238689482212067e-10
2020-07-21,246926.94140334975,-13697.069597671707,22678.83718775202,26388.841888569717,105546.59637517206,0.0,0.0,179.5241111021373,0.0,0.0,0.0,0.0,0.0,-2372.1976802637737,385651.4736880102,385651.4736880096,5.820766091346741e-10
2020-07-28,216446.70533414587,15796.448396709937,23399.287418005053,27227.14973730792,108899.54913158825,33333.26164000498,0.0,111.14687241068278,0.0,0.0,0.0,0.0,0.0,-3632.7066059446183,421580.84192422807,421580.8419242273,7.566995918750763e-10
2020-08-04,212846.4025363973,14945.020560546189,23141.968298230848,28365.974691207888,113454.47042214005,58806.092564134255,0.0,69.48144568943725,0.0,0.0,0.0,0.0,0.0,-4985.863927405941,446643.54659094004,446643.54659094004,0.0
2020-08-11,229073.29311782087,-27925.47741702979,20400.54397009157,25005.708524228303,100014.5226466007,23215.356708685904,0.0,36.751616079971065,0.0,0.0,0.0,0.0,0.0,-3978.017386772612,365842.6817797049,365842.68177970365,1.2223608791828156e-09
2020-08-18,242477.30366606504,8205.075708200764,22175.916033917376,27181.848357321545,108718.35866901111,0.0,0.0,23.97046433508687,0.0,0.0,0.0,0.0,0.0,-4252.195323320028,404530.27757553087,404530.2775755295,1.3969838619232178e-09
2020-08-25,227755.68213381662,5016.470531693214,20636.301781873874,25294.685677601312,101170.33520925489,0.0,0.0,3424.634785868269,0.0,0.0,0.0,0.0,0.0,-8424.033391792818,374874.0767283154,374874.0767283154,0.0
2020-09-01,227561.5267425277,13806.731576228654,27949.9034976993,28686.279128554917,114735.58170806136,35119.62349698664,0.0,2334.7282762966097,0.0,0.0,0.0,0.0,0.0,-6100.501488347882,444093.8729380073,444093.8729380057,1.57160684466362e-09
2020-09-08,221142.36809409736,16875.612652123367,29516.369059131095,30294.015210513135,121165.99165317327,62803.153496463405,0.0,4450.811747035501,0.0,0.0,0.0,0.0,0.0,-3651.693468850272,482596.6284436868,482596.6284436852,1.6298145055770874e-09
2020-09-15,226019.79514168005,-4836.646400976812,28750.460078558535,29507.927387148044,118021.90164124702,61173.49846759263,0.0,5735.967166682178,0.0,0.0,0.0,0.0,0.0,-4443.018902712365,459929.8845792193,459929.8845792168,2.444721758365631e-09
2020-09-22,245095.8973361189,-15405.019115185696,30982.499842331054,31798.773067344457,127184.52292589814,65922.69833067844,9176.459499212304,5976.648546046807,0.0,0.0,0.0,0.0,0.0,-8594.144287294881,492138.3361451496,492138.3361451487,8.731149137020111e-10
2020-09-29,236567.3048614785,13644.091887631148,32395.734703583053,33249.24139212484,132985.9141152883,68929.69440597334,41791.732089261895,6272.707280305322,-32339.34289027632,0.0,0.0,0.0,0.0,-6533.860611514463,526963.2172338556,526963.2172338545,1.1641532182693481e-09
2020-10-06,241823.76981731353,7751.77386643761,29543.599048624168,33258.071924806936,133021.23331090587,57412.64511691117,59663.491491863504,4594.327337413554,-41132.560468741525,0.0,0.0,0.0,0.0,-4909.213209611273,521027.1382359235,521027.1382359217,1.8044374883174896e-09
