Date,base,weather,econ,dist,price,promotion,m_wow_tv,m_wow_olv,m_wow_social,m_amaze_tot,m_celeb_tv,m_celeb_outdoor,m_celeb_display,comp,model,model_og,diff
2020-01-07,150784.1533830798,-6665.281551702373,0.0,19399.674569088245,82767.49231710282,39308.295944645564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2188.509728138476,283405.8249340756,283405.8249340756,0.0
2020-01-14,151256.0724604897,-7910.8242595925085,0.0,19340.710351494985,82515.92518852772,39188.82059432217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2727.8142983507423,281662.89003689133,281662.89003689133,0.0
2020-01-21,159049.5301654654,8468.050819842905,0.0,21539.47312035332,91896.80835388732,43644.03025892503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2426.1767170837816,322171.71600139025,322171.7160013896,6.402842700481415e-10
2020-01-28,154773.2302589702,16181.482451514315,0.0,19685.632510553132,83987.51390246076,17872.626351369105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3540.9542904945047,288959.531184373,288959.5311843725,5.238689482212067e-10
2020-02-04,170190.2241367426,-10832.265044537708,4695.015631702024,18547.924378335483,79133.55365910352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3729.033836887011,258005.41892445888,258005.41892445885,2.9103830456733704e-11
2020-02-11,204377.6355990853,-5970.620606865888,5770.748196944366,22797.666623430767,97264.8118597463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4450.083761136609,319790.1579112042,319790.15791120473,-5.238689482212067e-10
2020-02-18,220478.94296872127,-11662.55420243102,6108.248162361546,24130.979295273748,102953.3065780499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5821.336182030991,336187.5866199444,336187.5866199444,0.0
2020-02-25,254409.24247013556,-9194.60102804396,7086.763884445004,27996.66091168134,119445.99424386286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8935.7272339373,390808.33324814355,390808.33324814355,0.0
2020-03-03,254286.2667541863,3369.6319545340343,11953.42139817779,29185.701648322305,124518.96181783729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9988.454075769629,413325.52949728805,413325.5294972881,-5.820766091346741e-11
2020-03-10,251679.47382373153,15005.294842928584,12198.985105031881,29785.274678098554,127077.00246737627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9560.393043169937,426185.6378739969,426185.6378739969,0.0
2020-03-17,253946.17576606447,-1552.2501510889992,11957.487168423,29195.62871049083,124561.31500468306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4088.516725399098,414019.8397731732,414019.8397731732,0.0
2020-03-24,262839.07894189365,15465.432185660884,14007.279729642762,34200.44131935865,145914.033457654,40940.20768289399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7307.107060001999,506059.36625710194,506059.366257102,-5.820766091346741e-11
2020-03-31,228856.423504844,40041.06482826162,12599.981237512402,32287.827743232985,121659.50237837237,65422.72056269795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4946.740615048456,495920.7796398729,495920.77963987284,5.820766091346741e-11
2020-04-07,230293.90258959384,33316.90829949918,12468.09619246587,31949.86838154021,120386.08231138528,64737.935539146514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5485.960790155607,487666.83252347534,487666.83252347703,-1.6880221664905548e-09
2020-04-14,244236.1863906734,36323.13190431675,13223.237012487203,33884.939256578065,127677.36748535714,68658.84350896657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7108.737722203015,516894.9678361761,516894.96783617605,5.820766091346741e-11
2020-04-21,269028.07714371,9594.125202265983,13770.331322265034,35286.884743672854,132959.85324680034,71499.51425881474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4379.346391882184,527759.4395256467,527759.4395256487,-1.979060471057892e-09
