Date,base,weather,econ,dist,price,promotion,m_wow_tv,m_wow_olv,m_wow_social,m_amaze_tot,m_celeb_tv,m_celeb_outdoor,m_celeb_display,comp,model
2020-01-07,538292.5282442481,-5106.583961619173,0.0,1404.7335301943713,174089.60689039866,57326.52433768203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11722.994729545433,754283.8143113586
2020-01-14,538292.5282442481,-11583.17484280532,0.0,1404.7335301943713,174089.60689039866,57326.52433768203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14518.627507124176,745011.5906525936
2020-01-21,563623.9358110395,8941.228364568975,0.0,1404.7335301943713,174089.60689039866,57326.52433768203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9410.15594563877,795975.8729882449
2020-01-28,561373.643971865,28382.05351982461,0.0,1404.7335301943713,174089.60689039866,24568.510430435155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16233.480456549201,773585.0678861686
2020-02-04,592148.4649420205,-22528.57943837167,20777.191739498405,1404.7335301943713,174089.60689039866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24377.695945252795,741513.7217184874
2020-02-11,646405.0305814295,-4816.990520612513,20777.191739498405,1404.7335301943713,174089.60689039866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20961.520476546906,816898.0517443614
2020-02-18,689640.4377622779,-9427.794318533572,20777.191739498405,1404.7335301943713,174089.60689039866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23095.0375181253,853389.1380857105
2020-02-25,779863.4078175548,-9576.454325957455,20777.191739498405,1404.7335301943713,174089.60689039866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31046.698062541007,935511.7875891478
2020-03-03,841054.0835687441,1900.1235593783208,34074.594452777295,1404.7335301943713,174089.60689039866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35313.766336471395,1017209.3756650215
2020-03-10,841054.0835687441,17429.817292407137,34074.594452777295,1404.7335301943713,174089.60689039866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33368.69150863323,1034684.1442258883
2020-03-17,841054.0835687441,-5721.431117936301,34074.594452777295,1404.7335301943713,174089.60689039866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15618.952522457006,1029282.6348017212
2020-03-24,866385.4911355355,13326.135497816653,34074.594452777295,1404.7335301943713,174089.60689039866,32758.013907246874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25311.58151807334,1096726.993895896
2020-03-31,811969.4021016961,34012.74036859902,32412.41911361739,1404.7335301943713,152033.46930558095,57326.52433768203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14367.300445207715,1074791.9883121622
2020-04-07,811969.4021016961,37629.49517661788,32412.41911361739,1404.7335301943713,152033.46930558095,57326.52433768203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15828.707471647936,1076947.3360937408
2020-04-14,843097.6927000633,34664.503895475485,32412.41911361739,1404.7335301943713,152033.46930558095,57326.52433768203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18274.59040071957,1102664.752481894
2020-04-21,868429.1002668547,13840.203098066751,32412.41911361739,1404.7335301943713,152033.46930558095,57326.52433768203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16142.426130940079,1109304.0235210562
2020-04-28,850298.5266352321,32422.455209866373,32412.41911361739,1404.7335301943713,152033.46930558095,57326.52433768203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69872.83629584087,1056025.2918363325
2020-05-05,853178.8602093,-31962.08111389003,30750.243774457485,1404.7335301943713,152033.46930558095,57326.52433768203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45838.144181502255,1016893.6058618224
2020-05-12,853178.8602093,-23574.850816912483,30750.243774457485,1404.7335301943713,152033.46930558095,57326.52433768203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27827.742772050136,1043291.2375682521
2020-05-19,878510.2677760914,11667.858055212826,30750.243774457485,1404.7335301943713,152033.46930558095,24568.510430435155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17266.6167973235,1081668.4660746485
2020-05-26,796790.5961821709,-15539.086775767239,30750.243774457485,1404.7335301943713,152033.46930558095,57326.52433768203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55518.35452589631,967248.1258284221
2020-06-02,769663.0825372238,18858.80237526502,44047.64648773649,1404.7335301943713,152033.46930558095,57326.52433768203,0.0,11810.586743963417,0.0,0.0,0.0,0.0,0.0,-20911.52406090274,1034233.3212567434
2020-06-09,769663.0825372238,-41547.45135261493,44047.64648773649,1404.7335301943713,152033.46930558095,57326.52433768203,0.0,16399.872746128432,0.0,0.0,0.0,0.0,0.0,-14593.261142976691,984734.6164489546
2020-06-16,769663.0825372238,-26931.578656196856,44047.64648773649,1404.7335301943713,152033.46930558095,24568.510430435155,0.0,9995.31937445973,0.0,0.0,0.0,0.0,0.0,-20472.88967179449,954308.2933376392
2020-06-23,794994.4901040152,-60540.14169854817,44047.64648773649,1404.7335301943713,152033.46930558095,0.0,0.0,6152.587351458507,0.0,0.0,0.0,0.0,0.0,-44707.93039880845,893384.8546816289
2020-06-30,769663.0825372238,-28993.298493055176,46540.90949647629,1404.7335301943713,152033.46930558095,0.0,0.0,3846.948137657775,0.0,0.0,0.0,0.0,0.0,-13389.991294609456,931105.8532194685
2020-07-07,769663.0825372238,-16470.17579152974,46540.90949647629,1404.7335301943713,152033.46930558095,0.0,0.0,2308.168882594665,0.0,0.0,0.0,0.0,0.0,-17715.17271988805,937765.0152406524
2020-07-14,769663.0825372238,-45089.539211272095,46540.90949647629,1404.7335301943713,152033.46930558095,0.0,0.0,1384.9013295567988,0.0,0.0,0.0,0.0,0.0,-16114.050282489983,909823.5067052701
2020-07-21,794994.4901040152,-15657.68513426991,46540.90949647629,1404.7335301943713,152033.46930558095,0.0,0.0,830.9407977340793,0.0,0.0,0.0,0.0,0.0,-17550.54372311504,962596.314376616
2020-07-28,769663.0825372238,20489.170871932216,46540.90949647629,1404.7335301943713,152033.46930558095,32758.013907246874,0.0,498.5644786404476,0.0,0.0,0.0,0.0,0.0,-47442.15079213713,975945.7933351578
2020-08-04,769663.0825372238,14884.644764540528,44047.64648773649,1404.7335301943713,152033.46930558095,57326.52433768203,0.0,299.1386871842685,0.0,0.0,0.0,0.0,0.0,-15428.031659763577,1024231.207990379
2020-08-11,769663.0825372238,-34554.18322030589,44047.64648773649,1404.7335301943713,152033.46930558095,24568.510430435155,0.0,179.4832123105611,0.0,0.0,0.0,0.0,0.0,-23100.661874543774,934242.0804086317
2020-08-18,794994.4901040152,13489.890746509715,44047.64648773649,1404.7335301943713,152033.46930558095,0.0,0.0,107.68992738633666,0.0,0.0,0.0,0.0,0.0,-21881.40165309726,984196.5184483258
2020-08-25,774152.2155505404,12348.092237660967,44047.64648773649,1404.7335301943713,152033.46930558095,0.0,0.0,16611.732213334122,0.0,0.0,0.0,0.0,0.0,-49842.94826371638,950754.941061331
2020-09-01,801087.0136304396,19138.396578488668,53189.610853115795,1404.7335301943713,152033.46930558095,32758.013907246874,0.0,9967.039328000472,0.0,0.0,0.0,0.0,0.0,-31897.039793971056,1037681.2373390956
2020-09-08,801087.0136304396,20656.366423722393,53189.610853115795,1404.7335301943713,152033.46930558095,57326.52433768203,0.0,18033.87383184234,0.0,0.0,0.0,0.0,0.0,-32626.20607946229,1071105.385833115
2020-09-15,801087.0136304396,-2337.4417153525674,53189.610853115795,1404.7335301943713,152033.46930558095,57326.52433768203,0.0,23900.292550219594,0.0,0.0,0.0,0.0,0.0,-33321.53882629287,1053282.663665587
2020-09-22,826418.421197231,-11547.430264919773,53189.610853115795,1404.7335301943713,152033.46930558095,57326.52433768203,13945.958373377745,23103.816173280444,0.0,0.0,0.0,0.0,0.0,-23987.61413653058,1091887.489369012
2020-09-29,852477.7758573694,15896.956485340486,53189.610853115795,1404.7335301943713,152033.46930558095,57326.52433768203,62937.65802569005,23191.05356324792,-46237.30874084963,0.0,0.0,0.0,0.0,-31410.252438745425,1140810.220778626
2020-10-06,861042.9028951911,10622.222906766165,48203.0848356362,1404.7335301943713,152033.46930558095,54987.70092725662,91702.15356443569,16951.064414274737,-59580.190227545165,0.0,0.0,0.0,0.0,-26678.69218183364,1150688.449969957
2020-10-13,861042.9028951911,19132.824173550645,48203.0848356362,1404.7335301943713,152033.46930558095,53233.58336943757,64191.507495104976,13972.096041359364,-30398.45440633114,0.0,0.0,0.0,0.0,-24844.061314064216,1157971.68592566
2020-10-20,875505.970858059,15823.0921149449,48203.0848356362,1404.7335301943713,152033.46930558095,53233.58336943757,68096.1706497395,12025.334785012528,-15807.586495724127,0.0,0.0,0.0,0.0,-27777.95970347849,1182739.8932494025
2020-10-27,876534.1181963495,28910.38187706217,48203.0848356362,1404.7335301943713,152033.46930558095,53233.58336943757,47667.319454817654,10027.30546995237,-8512.152540420619,0.0,0.0,0.0,0.0,-38997.24117680162,1170504.6023218082
2020-11-03,897189.0719312276,24583.54861377539,57345.04920101538,1404.7335301943713,101702.19616835844,22814.3928726161,58268.13657432863,7669.156294008641,-4256.076270210309,0.0,0.0,0.0,0.0,-31472.47515025644,1135247.733765058
