variable,beta,carryover,log,group,decomp_ref,spend_variable
C,12.0,,False,base,,
D_JAN,-0.15,,False,base,,
D_FEB,-0.1,,False,base,,
D_MAR,0.08,,False,base,,
D_APR,0.1,,False,base,,
D_MAY,0.1,,False,base,,
D_SEP,0.05,,False,base,,
D_OCT,0.1,,False,base,,
D_NOV,0.15,,False,base,,
D_DEC,-0.2,,False,base,,
SCHOOL_EASTER,-0.05,,False,base,,
SCHOOL_HT_FEB,-0.05,,False,base,,
SCHOOL_HT_MAY,-0.05,,False,base,,
SCHOOL_HT_OCT,-0.05,,False,base,,
PAYDAY_25,0.08,,False,base,,
BH_NY,-0.5,,False,base,,
BH_XMAS,-0.7,,False,base,,
DAY_VALENTINE,0.25,1.0,False,base,,
WW_NAT_DLTA_MAXTEMP,0.01,,False,weather,,
WW_NAT_DLTA_RAIN,-0.02,,False,weather,,
WW_NAT_DLTA_SUN,0.01,,False,weather,,
RSI_NFOOD_VOL_SA,1.0,,True,econ,min,
Dist_XF,0.9,,True,dist,min,
Price_SE_XF,-1.8,,True,price,min,
Prom_TFT,0.15,,False,promotion,,
POS_FSDU,0.1,,False,promotion,,
m_Wow_TV,1.2e-07,0.7,False,m_Wow_TV,,m_Wow_TV
m_Wow_OLV,2e-07,0.6,False,m_Wow_OLV,,m_Wow_OLV
m_Wow_Social,5e-07,0.5,False,m_Wow_Social,,m_Wow_Social
m_Amaze_Tot,9e-08,0.7,False,m_Amaze_Tot,,m_Amaze_Tot
m_Celeb_TV,1.2e-07,0.7,False,m_Celeb_TV,,m_Celeb_TV
m_Celeb_Outdoor,1.2e-07,0.7,False,m_Celeb_Outdoor,,m_Celeb_Outdoor
m_Celeb_Display,2e-07,0.4,False,m_Celeb_Display,,m_Celeb_Display
comp_Lor_Tot,-2e-08,,False,comp,,
comp_no7_Tot,-2e-08,,False,comp,,
