variable,beta,carryover,log,group,decomp_ref,spend_variable
C,11.69423624381858,,False,base,,
D_JAN,-0.14605735050662877,,False,base,,
D_FEB,-0.09738266399651097,,False,base,,
D_MAR,0.08264360642405588,,False,base,,
D_APR,0.10378477457168733,,False,base,,
D_MAY,0.10539733005576579,,False,base,,
D_SEP,0.04582996093500946,,False,base,,
D_OCT,0.10522365556313895,,False,base,,
D_NOV,0.1535690370758218,,False,base,,
D_DEC,-0.19593718347879596,,False,base,,
SCHOOL_EASTER,-0.05553006915879477,,False,base,,
SCHOOL_HT_FEB,-0.04280583540760485,,False,base,,
SCHOOL_HT_MAY,-0.06546241755595261,,False,base,,
SCHOOL_HT_OCT,-0.04146421185425808,,False,base,,
PAYDAY_25,0.07804112219573422,,False,base,,
BH_NY,-0.496448715083897,,False,base,,
BH_XMAS,-0.7082301712055461,,False,base,,
DAY_VALENTINE,0.24819617148159012,1.0,False,base,,
WW_NAT_DLTA_MAXTEMP,0.010307073879647577,,False,weather,,
WW_NAT_DLTA_RAIN,-0.019546170257218387,,False,weather,,
WW_NAT_DLTA_SUN,0.009814597622134658,,False,weather,,
RSI_NFOOD_VOL_SA,1.059670415670631,,True,econ,min,
Dist_XF,0.8846072950587285,,True,dist,min,
Price_SE_XF,-1.788137341726162,,True,price,min,
Prom_TFT,0.15027034544654375,,False,promotion,,
POS_FSDU,0.10181836239716001,,False,promotion,,
m_Wow_TV,1.1316984664569504e-07,0.7,False,m_Wow_TV,,m_Wow_TV
m_Wow_OLV,2.433430532059214e-07,0.6,False,m_Wow_OLV,,m_Wow_OLV
m_Wow_Social,5.383976642299421e-07,0.5,False,m_Wow_Social,,m_Wow_Social
m_Amaze_Tot,9.080291631689814e-08,0.7,False,m_Amaze_Tot,,m_Amaze_Tot
m_Celeb_TV,1.0046183216753694e-07,0.7,False,m_Celeb_TV,,m_Celeb_TV
m_Celeb_Outdoor,9.751467904958352e-08,0.7,False,m_Celeb_Outdoor,,m_Celeb_Outdoor
m_Celeb_Display,2.3442554499520542e-07,0.4,False,m_Celeb_Display,,m_Celeb_Display
comp_Lor_Tot,-1.6766066537601575e-08,,False,comp,,
comp_no7_Tot,-2.8717472522407884e-08,,False,comp,,
