variable,beta,carryover,log,group,decomp_ref,spend_variable
c,500000.0,,,base,,
d_jan,-120000.0,,,base,,-240000
d_feb,-80000.0,,,base,,-160000
d_mar,64000.0,,,base,,128000
d_apr,80000.0,,,base,,160000
d_may,80000.0,,,base,,160000
d_sep,40000.0,,,base,,80000
d_oct,80000.0,,,base,,160000
d_nov,120000.0,,,base,,240000
d_dec,-160000.0,,,base,,-320000
school_easter,-40000.0,,,base,,-80000
school_ht_feb,-40000.0,,,base,,-80000
school_ht_may,-40000.0,,,base,,-80000
school_ht_oct,-40000.0,,,base,,-80000
payday_25,32000.0,,,base,,
bh_ny,-200000.0,,,base,,
bh_xmas,-280000.0,,,base,,
day_valentine,100000.0,1.0,,base,,
ww_nat_dlta_maxtemp,4000.0,,,weather,,
ww_nat_dlta_rain,-8000.0,,,weather,,
ww_nat_dlta_sun,4000.0,,,weather,,
rsi_nfood_vol_sa,10000.0,,,econ,min,
dist_xf,200000.0,,,dist,min,
price_se_xf,-100000.0,,,price,min,
prom_tft,60000.0,,,promotion,,
pos_fsdu,40000.0,,,promotion,,
m_wow_tv,0.1,0.7,,m_wow_tv,,m_wow_tv
m_wow_olv,0.1,0.6,,m_wow_olv,,m_wow_olv
m_wow_social,0.1,0.5,,m_wow_social,,m_wow_social
m_amaze_tot,0.1,0.7,,m_amaze_tot,,m_amaze_tot
m_celeb_tv,0.1,0.7,,m_celeb_tv,,m_celeb_tv
m_celeb_outdoor,0.1,0.7,,m_celeb_outdoor,,m_celeb_outdoor
m_celeb_display,0.1,0.4,,m_celeb_display,,m_celeb_display
comp_lor_tot,-0.05,,,comp,,
comp_no7_tot,-0.05,,,comp,,
