variable,beta,carryover,log,group,decomp_ref,spend_variable
c,13.163122463467062,,False,base,,
d_jan,-0.17157587979038977,,False,base,,-240000
d_feb,-0.09692576723590418,,False,base,,-160000
d_mar,0.0884629636165275,,False,base,,128000
d_apr,0.09066767403436637,,False,base,,160000
d_may,0.10103952441521191,,False,base,,160000
d_sep,0.0430410436328903,,False,base,,80000
d_oct,0.11417066008361365,,False,base,,160000
d_nov,0.15742577450581602,,False,base,,240000
d_dec,-0.21940617973375787,,False,base,,-320000
school_easter,-0.05460280765149905,,False,base,,-80000
school_ht_feb,-0.07740663858285934,,False,base,,-80000
school_ht_may,-0.054685646244877706,,False,base,,-80000
school_ht_oct,-0.008842650003627384,,False,base,,-80000
payday_25,0.06917989914898415,,False,base,,
bh_ny,-0.5045387659392802,,False,base,,
bh_xmas,-0.6934964228402709,,False,base,,
day_valentine,0.24462038881111403,1.0,False,base,,
ww_nat_dlta_maxtemp,0.010717947821913487,,False,weather,,
ww_nat_dlta_rain,-0.022853509124260624,,False,weather,,
ww_nat_dlta_sun,0.008768123587858057,,False,weather,,
rsi_nfood_vol_sa,0.7126097468861232,,True,econ,min,
dist_xf,0.7270967553851477,,True,dist,min,
price_se_xf,-1.7224789992930614,,True,price,min,
prom_tft,0.14506215283774282,,False,promotion,,
pos_fsdu,0.11557999202984948,,False,promotion,,
m_wow_tv,1.6381392787068914e-07,0.7,False,m_wow_tv,,m_wow_tv
m_wow_olv,2.883812277493669e-07,0.6,False,m_wow_olv,,m_wow_olv
m_wow_social,-6.339807293136699e-07,0.5,False,m_wow_social,,m_wow_social
m_amaze_tot,8.252810221990112e-08,0.7,False,m_amaze_tot,,m_amaze_tot
m_celeb_tv,1.2414743152193197e-07,0.7,False,m_celeb_tv,,m_celeb_tv
m_celeb_outdoor,2.4168213448528417e-08,0.7,False,m_celeb_outdoor,,m_celeb_outdoor
m_celeb_display,5.22403300766575e-07,0.4,False,m_celeb_display,,m_celeb_display
comp_lor_tot,-3.539166654152824e-08,,False,comp,,
comp_no7_tot,-2.433723657460036e-08,,False,comp,,
