Date,base,weather,econ,dist,price,promotion,m_Wow_TV,m_Wow_OLV,m_Wow_Social,m_Amaze_Tot,m_Celeb_TV,m_Celeb_Outdoor,m_Celeb_Display,comp,model,model_og,diff
2020-01-07,156389.5473292283,-2344.641505192359,0.0,15138.826536317854,78147.87689254589,37368.77121344192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1083.9766723475452,283616.4037939941,283234.0819988183,382.32179517578334
2020-01-14,157224.99937444204,-5011.438484949008,0.0,15054.876082605128,77714.51769485154,37161.54740448103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1340.6948512703073,280803.80722016044,280166.7581008614,637.0491192990448
2020-01-21,167323.7719567959,5789.667191628416,0.0,16675.959086563726,86082.68247446902,41163.03852055942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1005.1482753654615,316029.9709546511,315891.3650395119,138.60591513919644
2020-01-28,159746.32016270413,15815.461361249541,0.0,15184.98236738898,78386.13711672975,16754.614406320714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1560.8111500235486,284326.7042643696,284152.0285673415,174.67569702811306
2020-02-04,172713.0349372699,-11752.236256705217,6062.5904214259435,14149.738124191408,73042.12055923487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2078.189595674063,252137.05818974282,251999.1244782963,137.93371144653065
2020-02-11,211430.12231519635,-3804.6431590645398,7684.980606504309,17936.303710576187,92588.68584819313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2325.8421591406477,323509.60716226476,323299.42836525955,210.17879700521007
2020-02-18,220045.6333398505,-7535.751670921621,7903.3354653179795,18445.931420117515,95219.42630953094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2731.4118035988536,331347.16306029644,331083.2432321787,263.9198281177669
2020-02-25,257180.90280645073,-6435.7601561943075,9268.106852963976,21631.22951750033,111662.19900285467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4283.979143402602,389022.69888017286,388721.1138307995,301.58504937333055
2020-03-03,259580.64773576235,4242.898256620037,15745.706976033496,22755.021519687492,117463.30642878803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5005.419174409221,414782.1617424822,414502.6499458651,279.51179661712376
2020-03-10,257208.75470462628,15337.028876956696,16048.308682823283,23192.32854949527,119720.72154928495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4784.79474793316,426722.34761525324,426364.4443882886,357.90322696464136
2020-03-17,261022.68747751293,-4982.649137342996,15581.825352766567,22518.18681485144,116240.7460597256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2141.503764525105,408239.2928029884,407922.3806958395,316.912107148848
2020-03-24,271120.25826784986,13875.32764291633,18341.076567942077,26505.738524985056,136824.8183719762,38583.693156510395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3951.765378188938,501299.14715399104,500776.41991073516,522.7272432558821
2020-03-31,238475.14973364756,35956.932337011174,16535.376606956128,25073.814557122118,114132.8892066667,61892.35588277394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2206.3857194753095,489860.1326047023,489412.46286503586,447.6697396664531
2020-04-07,238696.4247465381,35196.56126162291,16512.9100009189,25039.746780688867,113977.81692022557,61808.262776863034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2446.006801907279,488785.7156849502,488294.4225040455,491.2931809047004
2020-04-14,247736.48828848207,35306.02847828527,17077.825160110697,25896.369419456205,117877.05676263677,63922.75529235357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2967.025834841264,504849.4975664834,504263.0739702837,586.4235961997183
2020-04-21,273289.71644276497,12936.487283550558,17892.76321019389,27132.120260156997,123502.04108512317,66973.09016026309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2514.0931015151036,519212.12534053763,518814.68963690405,397.43570363358594
2020-04-28,250269.46581417383,34828.71431549265,16951.724587611316,25705.153794585185,117006.66699093785,63450.75748452479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10837.790427259803,497374.6925600658,495473.69470561406,1900.9978544517653
2020-05-05,265023.720326405,-32065.073492505253,14722.707949071591,23486.986642158965,106909.84565276546,57975.42023607065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6448.008453577066,429605.5988603894,427514.4680866246,2091.130773764802
2020-05-12,262253.15514077496,-23772.53027093598,14944.328701742852,23840.535980746747,108519.15832428582,58848.12356711519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3988.6560235014567,440644.1154202281,438534.2878165436,2109.8276036845054
2020-05-19,280444.09176221566,11346.08559238209,15948.114455136862,25441.865210607662,115808.21006225541,28071.72448858185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2698.9259735069713,474361.1655976726,474083.0992192566,278.06637841596967
2020-05-26,244540.10623778997,-13495.221155205832,14105.91279268816,22503.019586027847,102430.94984117772,55546.589988632506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7513.121039582596,418118.23625152773,416274.7157277683,1843.52052375942
2020-06-02,225440.4800644862,15116.473418655056,20482.423307172623,23160.057201302086,105421.70344900513,57168.42562198936,0.0,5214.448337148479,0.0,0.0,0.0,0.0,0.0,-3022.6663573158144,448981.3450424432,448421.6177949657,559.7272474775091
2020-06-09,238999.93140354322,-36662.64667628914,19075.441874691558,21569.1433739326,98180.06132938036,53241.404284328186,0.0,3834.6873997431894,0.0,0.0,0.0,0.0,0.0,-1949.5048636346983,396288.51812569523,393925.3549826936,2363.163143001613
2020-06-16,241292.89232192578,-23155.28765691224,17988.164106122487,20339.727550613152,92583.91321908074,22442.19216032836,0.0,60.6343234218279,0.0,0.0,0.0,0.0,0.0,-2540.8390103318934,369011.39701424824,367942.0435510614,1069.3534631868242
2020-06-23,271261.8516812848,-49764.9345941379,17535.736677811074,19828.155020254355,90255.29860818453,0.0,0.0,59.10928557739596,0.0,0.0,0.0,0.0,0.0,-5342.970668604705,343832.2460103695,345633.6011350704,-1801.3551247008727
2020-06-30,244958.84560829742,-23127.613997491197,18085.69942419341,19409.150728626028,88348.04312120697,0.0,0.0,57.860200914370374,0.0,0.0,0.0,0.0,0.0,-1604.8737703766444,346127.11131537036,345853.5358491843,273.575466186041
2020-07-07,242860.3465346062,-13365.05962074941,18402.30844930393,19748.928148690484,89894.66773035015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2151.1173146847505,355390.07392751664,354948.8173046329,441.25662288372405
2020-07-14,247340.93240464773,-33836.70288523588,17690.652191716392,18985.195254179973,86418.25046507617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1853.8509644453402,334744.4764659391,335040.94770754344,-296.47124160436215
2020-07-21,262863.41465658246,-13551.240760207933,19968.20952857282,21429.41665846804,97544.04267737185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2295.152511827136,385958.6902489601,385480.6445383297,478.04571063042386
2020-07-28,230751.85164340667,18527.10635016311,20560.685369629613,22065.247910134087,100438.26755229935,32119.78998375885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6232.006618720455,418230.9421906712,417390.3755856783,840.5666049928986
2020-08-04,225965.3848518099,16940.37063557323,20402.511246054808,23069.6983663729,105010.40125673906,56945.383325977746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2287.296781797978,446046.45290072967,445634.5093455387,411.9435551909846
2020-08-11,242747.0535674393,-28753.078093418244,17800.51393719359,20127.546180222995,91618.08997813411,22208.078154853705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2895.621290945632,362852.58243347984,361922.57953604334,930.0028974364977
2020-08-18,257873.9200416549,10098.107387978904,19673.918356881164,22245.85771350375,101260.38094197378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3031.858644244494,408120.325797748,407909.76825167035,210.55754607764538
2020-08-25,239835.66891001977,6920.025453406284,18321.316482820246,20716.432395804437,94298.62688029409,0.0,0.0,6518.143857997346,0.0,0.0,0.0,0.0,0.0,-6431.769808860284,380178.44417148194,379736.2976090294,442.14656245254446
2020-09-01,242249.2066470263,15401.688820594716,24530.627538111312,23208.017833888778,105640.01429089277,33783.28953292541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4571.171436039202,440241.67322740005,439611.68162981846,629.9915975815966
