,c,seasonality,holidays,price,distribution,media1,media2,media3,error
2022-01-01,1,0.0,0,5.0,0.2,50.80282600976973,0.0,0.0,0.9646608766338678
2022-01-08,1,0.12053668025532305,0,5.0,0.2,74.30692281358225,0.0,0.0,0.7028404827610759
2022-01-15,1,0.23931566428755774,0,5.0,0.2,88.57820895219587,0.0,0.0,-0.7469272850772818
2022-01-22,1,0.3546048870425356,1,5.0,0.2,13.731155399948026,0.0,0.0,-0.44418463072661285
2022-01-29,1,0.4647231720437685,0,5.0,0.2,51.91417516304973,0.0,0.0,-0.006309096301809582
2022-02-05,1,0.5680647467311558,0,5.0,0.2,91.64890641963935,0.0,0.0,-0.5342781256877702
2022-02-12,1,0.6631226582407952,0,6.0,0.2,64.80267101207001,0.0,0.0,1.2172032437803346
2022-02-19,1,0.7485107481711011,0,6.0,0.2,15.65374352415272,0.0,0.0,0.9001590804018578
2022-02-26,1,0.8229838658936564,1,6.0,0.2,97.25764520800648,0.0,0.0,0.17751949322921481
2022-03-05,1,0.8854560256532099,0,6.0,0.2,62.395311892664694,0.0,0.0,0.5457357990670078
2022-03-12,1,0.9350162426854148,0,6.0,0.2,66.95215058053805,0.0,0.0,0.26359178019604046
2022-03-19,1,0.970941817426052,0,6.0,0.2,36.43579899294528,0.0,0.0,0.4008456946020971
2022-03-26,1,0.992708874098054,0,6.0,0.2,5.728692713413408,0.0,0.0,-0.10929743401193207
2022-04-02,1,1.0,0,6.0,0.2,0.0,43.07909497502855,0.0,0.43709743521092165
2022-04-09,1,0.992708874098054,0,6.0,0.2,0.0,3.1443627938963825,0.0,1.0358266680369028
2022-04-16,1,0.9709418174260521,0,6.0,0.2,0.0,72.10225823523906,0.0,0.059129755104179074
2022-04-23,1,0.9350162426854148,0,6.0,0.2,0.0,18.783307923539695,0.0,-1.104334478917118
2022-04-30,1,0.8854560256532099,0,6.0,0.2,0.0,70.12010070399015,0.0,1.455406376782708
2022-05-07,1,0.8229838658936565,0,6.0,0.2,0.0,66.34012529577964,0.0,1.9340841321675624
2022-05-14,1,0.7485107481711013,0,6.0,0.2,0.0,29.516791661925723,0.0,-1.1409187989485607
2022-05-21,1,0.6631226582407952,0,5.5,0.2,0.0,65.98070875042244,0.0,0.09116864040507047
2022-05-28,1,0.5680647467311558,0,5.5,0.2,0.0,94.47423737011401,0.0,0.2915251320180539
2022-06-04,1,0.46472317204376906,1,4.0,0.2,0.0,47.797831490345054,0.0,0.011204592695319033
2022-06-11,1,0.35460488704253584,0,4.0,0.2,0.0,91.53309303519262,0.0,0.88978244861026
2022-06-18,1,0.23931566428755768,0,4.0,0.2,0.0,11.483026389828554,0.0,0.9418994015062276
2022-06-25,1,0.12053668025532308,1,4.0,0.2,0.0,66.08865868587549,0.0,1.1407214398429097
2022-07-02,1,-3.216245299353273e-16,0,4.0,0.2,0.0,0.0,92.81241661647049,0.3883583119412774
2022-07-09,1,-0.12053668025532283,1,4.0,0.2,0.0,0.0,78.61402950396051,-0.008845652619971483
2022-07-16,1,-0.23931566428755743,0,4.0,0.2,0.0,0.0,16.085973654708873,0.26582496216581064
2022-07-23,1,-0.3546048870425356,0,4.0,0.2,0.0,0.0,9.91407835283149,-1.330822780035299
