,c,seasonality,holidays,price,distribution,media1,media2,media3,error
2022-01-01,1,0.0,0,5.0,0.2,0.24218344030436506,0.0,0.0,-0.9395811570665908
2022-01-08,1,0.120536680255323,0,5.0,0.2,0.4087465023114387,0.0,0.0,-0.29598242283796
2022-01-15,1,0.2393156642875577,0,5.0,0.2,0.39066494493933224,0.0,0.0,0.1339614398453761
2022-01-22,1,0.3546048870425356,1,5.0,0.2,0.4801794654547821,0.0,0.0,-0.6014378753252556
2022-01-29,1,0.4647231720437685,0,5.0,0.2,0.5642505837818562,0.0,0.0,1.7505900395296108
2022-02-05,1,0.5680647467311558,0,5.0,0.2,0.6554160552965111,0.0,0.0,0.0058775119918586
2022-02-12,1,0.6631226582407952,0,6.0,0.2,0.57349712230665,0.0,0.0,0.8449464004582279
2022-02-19,1,0.7485107481711011,0,6.0,0.2,0.7265846812164874,0.0,0.0,-0.0235046913719106
2022-02-26,1,0.8229838658936564,1,6.0,0.2,0.5398009162820434,0.0,0.0,-0.667832336673882
2022-03-05,1,0.8854560256532099,0,6.0,0.2,0.72879450332632,0.0,0.0,-0.1212257289090708
2022-03-12,1,0.9350162426854148,0,6.0,0.2,0.6672039505330593,0.0,0.0,-0.5690536073289494
2022-03-19,1,0.970941817426052,0,6.0,0.2,0.6975313996276037,0.0,0.0,0.810577751274069
2022-03-26,1,0.992708874098054,0,6.0,0.2,0.6676418113068747,0.0,0.0,0.8139158957377747
2022-04-02,1,1.0,0,6.0,0.2,0.408512791986497,0.030551608655518456,0.0,-2.490553761737436
2022-04-09,1,0.992708874098054,0,6.0,0.2,0.2328086608004787,0.12353710274519039,0.0,-0.7997375043549566
2022-04-16,1,0.970941817426052,0,6.0,0.2,0.12905693109386937,0.11454941360907396,0.0,0.43336858910412
2022-04-23,1,0.9350162426854148,0,6.0,0.2,0.07089625197481401,0.24968582898927172,0.0,-1.272390907286689
2022-04-30,1,0.8854560256532099,0,6.0,0.2,0.03883747888396165,0.3009179411384211,0.0,-0.0713939808608165
2022-05-07,1,0.8229838658936565,0,6.0,0.2,0.021257494664256242,0.33984809047894216,0.0,-1.083685060555482
2022-05-14,1,0.7485107481711013,0,6.0,0.2,0.011632232006719305,0.32451160259481293,0.0,-0.2242297506863856
2022-05-21,1,0.6631226582407952,0,5.5,0.2,0.006364745670265903,0.21563958521077864,0.0,-1.8613512779531776
2022-05-28,1,0.5680647467311558,0,5.5,0.2,0.003482484385800946,0.15150721048685392,0.0,-0.7484873825126206
2022-06-04,1,0.464723172043769,1,4.0,0.2,0.0019054359067003086,0.10743262793812011,0.0,-1.492470187639571
2022-06-11,1,0.3546048870425358,0,4.0,0.2,0.0010425541633151166,0.13911937329561844,0.0,-0.7767063538401544
2022-06-18,1,0.2393156642875576,0,4.0,0.2,0.0005704303757807307,0.16209010226532078,0.0,-1.2572525396406435
2022-06-25,1,0.120536680255323,1,4.0,0.2,0.00031210920797112565,0.20408301678333818,0.0,-0.67230777165426
2022-07-02,1,-3.216245299353273e-16,0,4.0,0.2,0.00017076957418409272,0.10178476534419792,0.900473533951927,0.4840184803793952
2022-07-09,1,-0.1205366802553228,1,4.0,0.2,9.343603535186653e-05,0.05063415160526652,0.715582662826198,-0.5635846626352742
2022-07-16,1,-0.2393156642875574,0,4.0,0.2,5.112323258521278e-05,0.02517253096863644,0.9053374368668302,0.6794811400215683
2022-07-23,1,-0.3546048870425356,0,4.0,0.2,2.797191572057795e-05,0.01251242760795569,0.9168284114247193,1.0258113486988052
2022-07-30,1,-0.464723172043768,0,4.0,0.2,1.530474559548455e-05,0.006219268463341256,0.912257590993535,1.2408648149105996
2022-08-06,1,-0.5680647467311556,0,4.0,0.2,8.37394335273886e-06,0.0030912408092180366,0.9425025585519395,-0.1837665481881867
2022-08-13,1,-0.663122658240795,0,4.0,0.2,4.581776732885249e-06,0.0015364744274474996,0.9218220864412321,0.1101412394904222
2022-08-20,1,-0.7485107481711011,0,4.0,0.2,2.5069047097022912e-06,0.000763690835162704,0.9457112173241792,-2.5656679440914583
2022-08-27,1,-0.8229838658936564,0,5.0,0.2,1.3716450167461178e-06,0.00037958562563743297,0.7956230368898809,0.6785647650263407
2022-09-03,1,-0.8854560256532096,0,5.0,0.2,7.504912510958177e-07,0.00018866959687756905,0.9275785983152193,0.7150664229066589
2022-09-10,1,-0.9350162426854148,1,5.0,0.2,4.106289244627782e-07,9.377651329639732e-05,0.9440696280408963,0.530463582440515
2022-09-17,1,-0.970941817426052,0,5.0,0.2,2.2467432279755417e-07,4.6610765975373735e-05,0.9190444150881502,-0.028444309243246
2022-09-24,1,-0.992708874098054,0,5.0,0.2,1.2292984813619436e-07,2.316745875127905e-05,0.7921182963428253,-0.047633825850775
2022-10-01,1,-1.0,0,5.0,0.2,6.72606792561886e-08,1.15151753825263e-05,0.25746750366364607,-0.3493769503760435
2022-10-08,1,-0.992708874098054,0,6.0,0.2,3.680146882628308e-08,5.72351355017006e-06,0.03944824132744475,0.64668964686653
2022-10-15,1,-0.970941817426052,1,6.0,0.2,2.0135807766872526e-08,2.8448205320799546e-06,0.005725432265305644,1.880206612607736
2022-10-22,1,-0.9350162426854148,0,6.0,0.2,1.1017243804542843e-08,1.4139922599618664e-06,0.0008299572806912778,1.557074178656357
2022-10-29,1,-0.8854560256532101,0,6.0,0.2,6.0280502502825704e-09,7.028120363604277e-07,0.00012030729847989744,0.3071290040598542
2022-11-05,1,-0.822983865893657,0,6.0,0.2,3.2982287098837203e-09,3.4932635237080537e-07,1.7439256869285747e-05,-1.0301819654069486
2022-11-12,1,-0.7485107481711011,1,6.0,0.2,1.8046154512715453e-09,1.7362949714496284e-07,2.527923746321009e-06,-2.03650682124918
2022-11-19,1,-0.6631226582407955,0,6.0,0.2,9.873896607621294e-10,8.630096777471732e-08,3.664375445341657e-07,-2.6028412504954432
2022-11-26,1,-0.5680647467311559,2,6.0,0.2,5.402471432309883e-10,4.289511379874924e-08,5.311729605727639e-08,0.7114133478501304
2022-12-03,1,-0.4647231720437684,0,6.0,0.2,2.955945229808895e-10,2.1320627511510805e-08,7.699667194372293e-09,1.707340228136868
2022-12-10,1,-0.3546048870425359,0,6.0,0.2,1.6173361231258016e-10,1.0597224654008172e-08,1.1161124399134673e-09,-0.8165615656827196
2022-12-17,1,-0.2393156642875578,0,6.0,0.2,8.849203661790143e-11,5.2672544608214855e-09,1.61787119765395e-10,-0.103528245338207
2022-12-24,1,-0.1205366802553236,0,6.0,0.2,4.841813914135213e-11,2.618041087252999e-09,2.345200285018921e-11,-0.1967218368768946
2022-12-31,1,0.0,3,6.0,0.2,0.06900629764948449,1.3012735924430522e-09,3.3995069476656985e-12,0.2843435684905063
2023-01-07,1,0.120536680255323,1,6.0,0.2,0.15376622277145854,6.467862443543117e-10,4.92778700439827e-13,-0.6989006732033569
2023-01-14,1,0.2393156642875577,0,5.5,0.2,0.30696604824889423,3.2147924027303504e-10,7.143119615446194e-14,0.3289648785566591
2023-01-21,1,0.3546048870425356,1,5.5,0.2,0.27326822857509314,1.5978834248353761e-10,1.0354375664985286e-14,0.3289513371332705
2023-01-28,1,0.4647231720437685,0,4.0,0.2,0.44515937514317555,7.942134730675453e-11,1.5009281824121103e-15,0.6234568902147356
2023-02-04,1,0.5680647467311558,0,4.0,0.2,0.5958780374710537,3.947566080216391e-11,2.1756844465060486e-16,-0.0337608457189945
2023-02-11,1,0.6631226582407952,0,4.0,0.2,0.7529471727561526,1.962101939354747e-11,3.1537836828148945e-17,-1.6602179526920238
2023-02-18,1,0.7485107481711011,0,4.0,0.2,0.6080968987110036,9.752449844255997e-12,4.5715965538855675e-18,0.1000453303955024
2023-02-25,1,0.8229838658936564,1,4.0,0.2,0.3648143513656272,0.05763852483419964,6.626800425590588e-19,1.644137405334282
2023-03-04,1,0.8854560256532099,0,4.0,0.2,0.20617419893645705,0.12724962889785807,9.605940367437512e-20,-0.8430048998966603
2023-03-11,1,0.9350162426854148,0,4.0,0.2,0.11396883320219146,0.1676005560540319,1.392438045763872e-20,0.8909559560791067
2023-03-18,1,0.970941817426052,0,4.0,0.2,0.06255253050577866,0.13763656311836078,2.0184215570015333e-21,-1.3749334950305454
2023-03-25,1,0.992708874098054,0,4.0,0.2,0.034257569047542846,0.07774471696337121,2.9258217944867646e-22,0.867010701561122
2023-04-01,1,1.0,0,4.0,0.2,0.018749198571483234,0.09194173266635439,4.241152272377978e-23,1.291770622188668
2023-04-08,1,0.992708874098054,0,4.0,0.2,0.010259429979129755,0.05741597770737791,6.147801835160012e-24,-0.4016530018940362
2023-04-15,1,0.970941817426052,0,4.0,0.2,0.005613556521310666,0.07014469226306347,8.911603492888786e-25,1.3528629458146997
2023-04-22,1,0.9350162426854148,0,5.0,0.2,0.0030714629862913984,0.03487883657832619,0.9110107693379839,1.5806593277427805
2023-04-29,1,0.8854560256532099,0,5.0,0.2,0.0016805451024127997,0.01733793677214164,0.9399339398822543,-0.970672183227113
2023-05-06,1,0.8229838658936565,0,5.0,0.2,0.0009195055829993459,0.008617876457279254,0.8843819351591691,0.8952703887990716
2023-05-13,1,0.7485107481711013,0,5.0,0.2,0.0005031046859011979,0.004283463430926285,0.8203872440685231,-0.4770009581552086
2023-05-20,1,0.6631226582407952,0,5.0,0.2,0.00027527216114001487,0.002129059871821072,0.9036470575181609,-0.5430760444458971
2023-05-27,1,0.5680647467311558,0,5.0,0.2,0.0001506142987713531,0.0010582303042515134,0.7066668929006061,0.0958979432444977
2023-06-03,1,0.464723172043769,1,6.0,0.2,8.240813968102775e-05,0.0005259838291417462,0.20433543512371613,1.047955837624527
2023-06-10,1,0.3546048870425358,0,6.0,0.2,4.5089354166226255e-05,0.00026143550066992676,0.9182562285680238,0.1249641539385626
2023-06-17,1,0.2393156642875576,0,6.0,0.2,2.4670498141038163e-05,0.00012994414667873874,0.5367593536539275,0.3790407014181379
2023-06-24,1,0.120536680255323,1,6.0,0.2,1.3498385363321947e-05,6.45875603796649e-05,0.10270480010308798,-0.1625309510870509
2023-07-01,1,-3.216245299353273e-16,0,6.0,0.3,7.3855990404594535e-06,3.2102661474757535e-05,0.015015403659615553,-0.6168011535172052
2023-07-08,1,-0.1205366802553228,1,6.0,0.3,4.04100725505894e-06,1.595633690821804e-05,0.0021769670605960613,0.1744883104321416
2023-07-15,1,-0.2393156642875574,0,6.0,0.3,2.211024392988634e-06,7.930952631842683e-06,0.00031556549497741026,0.9398651113070547
2023-07-22,1,-0.3546048870425356,0,6.0,0.3,1.2097550332920748e-06,3.942008119366631e-06,4.574309433135774e-05,1.096073475280126
2023-07-29,1,-0.464723172043768,0,6.0,0.3,6.619136565002292e-07,1.9593394052943327e-06,6.630732916183134e-06,-0.5170806590921215
2023-08-05,1,-0.5680647467311556,0,6.0,0.3,3.6216397254337086e-07,9.738718919108403e-07,9.61164074619594e-07,0.0609568034401472
2023-08-12,1,-0.663122658240795,0,6.0,0.3,1.9815687698889531e-07,4.840541966802846e-07,1.3932643494847822e-07,-0.2908749923304456
2023-08-19,1,-0.7485107481711011,0,6.0,0.3,1.0842091117522468e-07,2.405947509831542e-07,2.0196193332674393e-08,-1.433221616938663
2023-08-26,1,-0.8229838658936564,0,6.0,0.3,5.932216009199942e-08,1.1958544022060918e-07,2.9275580422450936e-09,-0.1569727394282822
2023-09-02,1,-0.8854560256532096,0,6.0,0.3,3.245793306692811e-08,5.9438859136865084e-08,4.2436690665106653e-10,1.2973542566785277
2023-09-09,1,-0.9350162426854148,1,5.5,0.3,1.7759255855541058e-08,2.954354617898725e-08,6.15145007757008e-11,0.6111398369670433
2023-09-16,1,-0.970941817426052,0,5.5,0.3,9.716920910898245e-09,1.4684351844980352e-08,8.916891836702756e-12,0.957550976517045
2023-09-23,1,-0.992708874098054,0,4.0,0.3,5.316582674222359e-09,7.298723985292737e-09,1.2925563732911624e-12,0.1880518515061445
2023-09-30,1,-1.0,0,4.0,0.3,2.908951466316753e-09,3.627764601111598e-09,1.8736371470368614e-13,-0.5133993202457989
2023-10-07,1,-0.992708874098054,0,4.0,0.3,1.5916236334318073e-09,1.8031475128526244e-09,2.7159482025668275e-14,2.006992022973392
2023-10-14,1,-0.970941817426052,1,4.0,0.3,8.708518584210796e-10,8.962381274987764e-10,3.936928049644854e-15,0.0686034412144218
2023-10-21,1,-0.9350162426854148,0,4.0,0.3,4.764838517006983e-10,4.4546703775320236e-10,5.706810775489768e-16,1.0294292656829371
2023-10-28,1,-0.8854560256532101,0,4.0,0.3,2.607066388342652e-10,2.2141535339321297e-10,8.272360789063445e-17,2.8062515864840702
2023-11-04,1,-0.822983865893657,0,4.0,0.3,1.4264481637659747e-10,1.1005249449096631e-10,1.1991277741035924e-17,0.8878119052000063
2023-11-11,1,-0.7485107481711011,1,4.0,0.3,7.80476620392027e-11,5.470059486875416e-11,1.7382068496427707e-18,-0.2878349611118438
2023-11-18,1,-0.6631226582407955,0,4.0,0.3,4.270353248381322e-11,2.7188434872243483e-11,2.5196339517727085e-19,1.2726255631309642
2023-11-25,1,-0.5680647467311559,2,4.0,0.3,2.33651033093101e-11,1.3513765116738694e-11,3.6523588963134535e-20,-0.2457906290259845
2023-12-02,1,-0.4647231720437684,0,4.0,0.3,1.278414269034225e-11,6.716894462241415e-12,5.294310905000609e-21,-2.072658064052445
2023-12-09,1,-0.3546048870425359,0,4.0,0.3,6.994803411030025e-12,3.3385715103932102e-12,7.674417754262997e-22,0.2081678732283132
2023-12-16,1,-0.2393156642875578,0,5.0,0.3,3.827184657123646e-12,1.6594067083629275e-12,1.1124523837713743e-22,0.7451937363820936
2023-12-23,1,-0.1205366802553236,0,5.0,0.3,2.0940320319260742e-12,8.247930634966594e-13,1.6125657291345347e-23,-1.7027756906157727
2023-12-30,1,0.0,3,5.0,0.3,0.09477818229104677,4.0995591627041935e-13,2.3375096936406118e-24,-0.4201335135632889
2024-01-06,1,0.120536680255323,1,5.0,0.3,0.22582612017619363,2.0376487233370118e-13,3.3883589792003923e-25,-0.2380800410158375
2024-01-13,1,0.2393156642875577,0,5.0,0.3,0.5292672220125495,1.0127948286464443e-13,4.911627362728322e-26,0.3171317055642113
2024-01-20,1,0.3546048870425356,1,5.0,0.3,0.7222629204676787,5.0340048958641286e-14,7.119695256136801e-27,0.0051149628971054
2024-01-27,1,0.4647231720437685,0,6.0,0.3,0.6018278292303547,2.5021065051696013e-14,1.032042066646103e-27,0.3137640795707686
2024-02-03,1,0.5680647467311558,0,6.0,0.3,0.583680896647084,1.2436493592518379e-14,1.4960062039299927e-28,-1.35489881175981
2024-02-10,1,0.6631226582407952,0,6.0,0.3,0.7453392349978571,6.181446415538048e-15,2.1685497466882527e-29,0.2089363445905246
2024-02-17,1,0.7485107481711011,0,6.0,0.3,0.6707353673360488,3.0724319120909584e-15,3.1434415121461278e-30,-0.944235097201534
2024-02-24,1,0.8229838658936564,1,6.0,0.3,0.4108499066421571,0.0070074187789905505,4.556604963927556e-31,-0.0131284491134937
