,c,seasonality,holidays,price,distribution,media1,media2,media3,error
2022-01-01,1,0.0,0,5.0,0.2,32.58814842340798,0.0,0.0,-0.9395811570665908
2022-01-08,1,0.120536680255323,0,5.0,0.2,62.21875578959653,0.0,0.0,-0.29598242283796
2022-01-15,1,0.2393156642875577,0,5.0,0.2,58.70324414745605,0.0,0.0,0.1339614398453761
2022-01-22,1,0.3546048870425356,1,5.0,0.2,76.96736975926612,0.0,0.0,-0.6014378753252556
2022-01-29,1,0.4647231720437685,0,5.0,0.2,96.40344494580904,0.0,0.0,1.7505900395296108
2022-02-05,1,0.5680647467311558,0,5.0,0.2,120.76074751039525,0.0,0.0,0.0058775119918586
2022-02-12,1,0.6631226582407952,0,6.0,0.2,98.70258738972285,0.0,0.0,0.8449464004582279
2022-02-19,1,0.7485107481711011,0,6.0,0.2,142.9077714843261,0.0,0.0,-0.0235046913719106
2022-02-26,1,0.8229838658936564,1,6.0,0.2,90.48783836378195,0.0,0.0,-0.667832336673882
2022-03-05,1,0.8854560256532099,0,6.0,0.2,143.64880140511005,0.0,0.0,-0.1212257289090708
2022-03-12,1,0.9350162426854148,0,6.0,0.2,124.21573049913965,0.0,0.0,-0.5690536073289494
2022-03-19,1,0.970941817426052,0,6.0,0.2,133.4797092585726,0.0,0.0,0.810577751274069
2022-03-26,1,0.992708874098054,0,6.0,0.2,124.3455813833908,0.0,0.0,0.8139158957377747
2022-04-02,1,1.0,0,6.0,0.2,62.1727906916954,0.030551608655518456,0.0,-2.490553761737436
2022-04-09,1,0.992708874098054,0,6.0,0.2,31.0863953458477,0.12353710274519039,0.0,-0.7997375043549566
2022-04-16,1,0.970941817426052,0,6.0,0.2,15.54319767292385,0.11454941360907396,0.0,0.43336858910412
2022-04-23,1,0.9350162426854148,0,6.0,0.2,7.771598836461925,0.24968582898927172,0.0,-1.272390907286689
2022-04-30,1,0.8854560256532099,0,6.0,0.2,3.8857994182309623,0.3009179411384211,0.0,-0.0713939808608165
2022-05-07,1,0.8229838658936565,0,6.0,0.2,1.9428997091154812,0.33984809047894216,0.0,-1.083685060555482
2022-05-14,1,0.7485107481711013,0,6.0,0.2,0.9714498545577406,0.32451160259481293,0.0,-0.2242297506863856
2022-05-21,1,0.6631226582407952,0,5.5,0.2,0.4857249272788703,0.21563958521077864,0.0,-1.8613512779531776
2022-05-28,1,0.5680647467311558,0,5.5,0.2,0.24286246363943514,0.15150721048685392,0.0,-0.7484873825126206
2022-06-04,1,0.464723172043769,1,4.0,0.2,0.12143123181971757,0.10743262793812011,0.0,-1.492470187639571
2022-06-11,1,0.3546048870425358,0,4.0,0.2,0.060715615909858786,0.13911937329561844,0.0,-0.7767063538401544
2022-06-18,1,0.2393156642875576,0,4.0,0.2,0.030357807954929393,0.16209010226532078,0.0,-1.2572525396406435
2022-06-25,1,0.120536680255323,1,4.0,0.2,0.015178903977464697,0.20408301678333818,0.0,-0.67230777165426
2022-07-02,1,-3.216245299353273e-16,0,4.0,0.2,0.007589451988732348,0.10178476534419792,0.900473533951927,0.4840184803793952
2022-07-09,1,-0.1205366802553228,1,4.0,0.2,0.003794725994366174,0.05063415160526652,0.715582662826198,-0.5635846626352742
2022-07-16,1,-0.2393156642875574,0,4.0,0.2,0.001897362997183087,0.02517253096863644,0.9053374368668302,0.6794811400215683
2022-07-23,1,-0.3546048870425356,0,4.0,0.2,0.0009486814985915435,0.01251242760795569,0.9168284114247193,1.0258113486988052
2022-07-30,1,-0.464723172043768,0,4.0,0.2,0.00047434074929577177,0.006219268463341256,0.912257590993535,1.2408648149105996
2022-08-06,1,-0.5680647467311556,0,4.0,0.2,0.00023717037464788588,0.0030912408092180366,0.9425025585519395,-0.1837665481881867
2022-08-13,1,-0.663122658240795,0,4.0,0.2,0.00011858518732394294,0.0015364744274474996,0.9218220864412321,0.1101412394904222
2022-08-20,1,-0.7485107481711011,0,4.0,0.2,5.929259366197147e-05,0.000763690835162704,0.9457112173241792,-2.5656679440914583
2022-08-27,1,-0.8229838658936564,0,5.0,0.2,2.9646296830985735e-05,0.00037958562563743297,0.7956230368898809,0.6785647650263407
2022-09-03,1,-0.8854560256532096,0,5.0,0.2,1.4823148415492868e-05,0.00018866959687756905,0.9275785983152193,0.7150664229066589
2022-09-10,1,-0.9350162426854148,1,5.0,0.2,7.411574207746434e-06,9.377651329639732e-05,0.9440696280408963,0.530463582440515
2022-09-17,1,-0.970941817426052,0,5.0,0.2,3.705787103873217e-06,4.6610765975373735e-05,0.9190444150881502,-0.028444309243246
2022-09-24,1,-0.992708874098054,0,5.0,0.2,1.8528935519366085e-06,2.316745875127905e-05,0.7921182963428253,-0.047633825850775
2022-10-01,1,-1.0,0,5.0,0.2,9.264467759683042e-07,1.15151753825263e-05,0.25746750366364607,-0.3493769503760435
2022-10-08,1,-0.992708874098054,0,6.0,0.2,4.632233879841521e-07,5.72351355017006e-06,0.03944824132744475,0.64668964686653
2022-10-15,1,-0.970941817426052,1,6.0,0.2,2.3161169399207606e-07,2.8448205320799546e-06,0.005725432265305644,1.880206612607736
2022-10-22,1,-0.9350162426854148,0,6.0,0.2,1.1580584699603803e-07,1.4139922599618664e-06,0.0008299572806912778,1.557074178656357
2022-10-29,1,-0.8854560256532101,0,6.0,0.2,5.7902923498019014e-08,7.028120363604277e-07,0.00012030729847989744,0.3071290040598542
2022-11-05,1,-0.822983865893657,0,6.0,0.2,2.8951461749009507e-08,3.4932635237080537e-07,1.7439256869285747e-05,-1.0301819654069486
2022-11-12,1,-0.7485107481711011,1,6.0,0.2,1.4475730874504754e-08,1.7362949714496284e-07,2.527923746321009e-06,-2.03650682124918
2022-11-19,1,-0.6631226582407955,0,6.0,0.2,7.237865437252377e-09,8.630096777471732e-08,3.664375445341657e-07,-2.6028412504954432
2022-11-26,1,-0.5680647467311559,2,6.0,0.2,3.6189327186261884e-09,4.289511379874924e-08,5.311729605727639e-08,0.7114133478501304
2022-12-03,1,-0.4647231720437684,0,6.0,0.2,1.8094663593130942e-09,2.1320627511510805e-08,7.699667194372293e-09,1.707340228136868
2022-12-10,1,-0.3546048870425359,0,6.0,0.2,9.047331796565471e-10,1.0597224654008172e-08,1.1161124399134673e-09,-0.8165615656827196
2022-12-17,1,-0.2393156642875578,0,6.0,0.2,4.5236658982827355e-10,5.2672544608214855e-09,1.61787119765395e-10,-0.103528245338207
2022-12-24,1,-0.1205366802553236,0,6.0,0.2,2.2618329491413678e-10,2.618041087252999e-09,2.345200285018921e-11,-0.1967218368768946
2022-12-31,1,0.0,3,6.0,0.2,7.533158332800176,1.3012735924430522e-09,3.3995069476656985e-12,0.2843435684905063
2023-01-07,1,0.120536680255323,1,6.0,0.2,19.06312462282165,6.467862443543117e-10,4.92778700439827e-13,-0.6989006732033569
2023-01-14,1,0.2393156642875577,0,5.5,0.2,43.42084978589315,3.2147924027303504e-10,7.143119615446194e-14,0.3289648785566591
2023-01-21,1,0.3546048870425356,1,5.5,0.2,37.68505785063161,1.5978834248353761e-10,1.0354375664985286e-14,0.3289513371332705
2023-01-28,1,0.4647231720437685,0,4.0,0.2,69.55675344895926,7.942134730675453e-11,1.5009281824121103e-15,0.6234568902147356
2023-02-04,1,0.5680647467311558,0,4.0,0.2,104.41707432575546,3.947566080216391e-11,2.1756844465060486e-16,-0.0337608457189945
2023-02-11,1,0.6631226582407952,0,4.0,0.2,151.98477562012982,1.962101939354747e-11,3.1537836828148945e-17,-1.6602179526920238
2023-02-18,1,0.7485107481711011,0,4.0,0.2,107.6306017502232,9.752449844255997e-12,4.5715965538855675e-18,0.1000453303955024
2023-02-25,1,0.8229838658936564,1,4.0,0.2,53.8153008751116,0.05763852483419964,6.626800425590588e-19,1.644137405334282
2023-03-04,1,0.8854560256532099,0,4.0,0.2,26.9076504375558,0.12724962889785807,9.605940367437512e-20,-0.8430048998966603
2023-03-11,1,0.9350162426854148,0,4.0,0.2,13.4538252187779,0.1676005560540319,1.392438045763872e-20,0.8909559560791067
2023-03-18,1,0.970941817426052,0,4.0,0.2,6.72691260938895,0.13763656311836078,2.0184215570015333e-21,-1.3749334950305454
2023-03-25,1,0.992708874098054,0,4.0,0.2,3.363456304694475,0.07774471696337121,2.9258217944867646e-22,0.867010701561122
2023-04-01,1,1.0,0,4.0,0.2,1.6817281523472376,0.09194173266635439,4.241152272377978e-23,1.291770622188668
2023-04-08,1,0.992708874098054,0,4.0,0.2,0.8408640761736188,0.05741597770737791,6.147801835160012e-24,-0.4016530018940362
2023-04-15,1,0.970941817426052,0,4.0,0.2,0.4204320380868094,0.07014469226306347,8.911603492888786e-25,1.3528629458146997
2023-04-22,1,0.9350162426854148,0,5.0,0.2,0.2102160190434047,0.03487883657832619,0.9110107693379839,1.5806593277427805
2023-04-29,1,0.8854560256532099,0,5.0,0.2,0.10510800952170235,0.01733793677214164,0.9399339398822543,-0.970672183227113
2023-05-06,1,0.8229838658936565,0,5.0,0.2,0.052554004760851175,0.008617876457279254,0.8843819351591691,0.8952703887990716
2023-05-13,1,0.7485107481711013,0,5.0,0.2,0.026277002380425588,0.004283463430926285,0.8203872440685231,-0.4770009581552086
2023-05-20,1,0.6631226582407952,0,5.0,0.2,0.013138501190212794,0.002129059871821072,0.9036470575181609,-0.5430760444458971
2023-05-27,1,0.5680647467311558,0,5.0,0.2,0.006569250595106397,0.0010582303042515134,0.7066668929006061,0.0958979432444977
2023-06-03,1,0.464723172043769,1,6.0,0.2,0.0032846252975531984,0.0005259838291417462,0.20433543512371613,1.047955837624527
2023-06-10,1,0.3546048870425358,0,6.0,0.2,0.0016423126487765992,0.00026143550066992676,0.9182562285680238,0.1249641539385626
2023-06-17,1,0.2393156642875576,0,6.0,0.2,0.0008211563243882996,0.00012994414667873874,0.5367593536539275,0.3790407014181379
2023-06-24,1,0.120536680255323,1,6.0,0.2,0.0004105781621941498,6.45875603796649e-05,0.10270480010308798,-0.1625309510870509
2023-07-01,1,-3.216245299353273e-16,0,6.0,0.3,0.0002052890810970749,3.2102661474757535e-05,0.015015403659615553,-0.6168011535172052
2023-07-08,1,-0.1205366802553228,1,6.0,0.3,0.00010264454054853745,1.595633690821804e-05,0.0021769670605960613,0.1744883104321416
2023-07-15,1,-0.2393156642875574,0,6.0,0.3,5.1322270274268726e-05,7.930952631842683e-06,0.00031556549497741026,0.9398651113070547
2023-07-22,1,-0.3546048870425356,0,6.0,0.3,2.5661135137134363e-05,3.942008119366631e-06,4.574309433135774e-05,1.096073475280126
2023-07-29,1,-0.464723172043768,0,6.0,0.3,1.2830567568567181e-05,1.9593394052943327e-06,6.630732916183134e-06,-0.5170806590921215
2023-08-05,1,-0.5680647467311556,0,6.0,0.3,6.415283784283591e-06,9.738718919108403e-07,9.61164074619594e-07,0.0609568034401472
2023-08-12,1,-0.663122658240795,0,6.0,0.3,3.2076418921417954e-06,4.840541966802846e-07,1.3932643494847822e-07,-0.2908749923304456
2023-08-19,1,-0.7485107481711011,0,6.0,0.3,1.6038209460708977e-06,2.405947509831542e-07,2.0196193332674393e-08,-1.433221616938663
2023-08-26,1,-0.8229838658936564,0,6.0,0.3,8.019104730354488e-07,1.1958544022060918e-07,2.9275580422450936e-09,-0.1569727394282822
2023-09-02,1,-0.8854560256532096,0,6.0,0.3,4.009552365177244e-07,5.9438859136865084e-08,4.2436690665106653e-10,1.2973542566785277
2023-09-09,1,-0.9350162426854148,1,5.5,0.3,2.004776182588622e-07,2.954354617898725e-08,6.15145007757008e-11,0.6111398369670433
2023-09-16,1,-0.970941817426052,0,5.5,0.3,1.002388091294311e-07,1.4684351844980352e-08,8.916891836702756e-12,0.957550976517045
2023-09-23,1,-0.992708874098054,0,4.0,0.3,5.011940456471555e-08,7.298723985292737e-09,1.2925563732911624e-12,0.1880518515061445
2023-09-30,1,-1.0,0,4.0,0.3,2.5059702282357776e-08,3.627764601111598e-09,1.8736371470368614e-13,-0.5133993202457989
2023-10-07,1,-0.992708874098054,0,4.0,0.3,1.2529851141178888e-08,1.8031475128526244e-09,2.7159482025668275e-14,2.006992022973392
